model,question_id,topic_cluster,lang_pair,model_pairwise_jsd,human_pairwise_jsd
fire,Q49,inglehart,bengali_hindi,0.1614,0.0252
fire,Q49,inglehart,bengali_marathi,0.1341,0.0379
fire,Q49,inglehart,bengali_punjabi,0.2524,0.0483
fire,Q49,inglehart,bengali_telugu,0.2308,0.0359
fire,Q49,inglehart,hindi_marathi,0.0081,0.0115
fire,Q49,inglehart,hindi_punjabi,0.0362,0.0343
fire,Q49,inglehart,hindi_telugu,0.0234,0.0336
fire,Q49,inglehart,marathi_punjabi,0.0757,0.0279
fire,Q49,inglehart,marathi_telugu,0.0572,0.0278
fire,Q49,inglehart,punjabi_telugu,0.0014,0.0538
global,Q49,inglehart,bengali_hindi,0.0385,0.0252
global,Q49,inglehart,bengali_marathi,0.0233,0.0379
global,Q49,inglehart,bengali_punjabi,0.078,0.0483
global,Q49,inglehart,bengali_telugu,0.0416,0.0359
global,Q49,inglehart,hindi_marathi,0.054,0.0115
global,Q49,inglehart,hindi_punjabi,0.117,0.0343
global,Q49,inglehart,hindi_telugu,0.1113,0.0336
global,Q49,inglehart,marathi_punjabi,0.0841,0.0279
global,Q49,inglehart,marathi_telugu,0.0629,0.0278
global,Q49,inglehart,punjabi_telugu,0.0278,0.0538
earth,Q49,inglehart,bengali_hindi,0.2415,0.0252
earth,Q49,inglehart,bengali_marathi,0.1888,0.0379
earth,Q49,inglehart,bengali_punjabi,0.28,0.0483
earth,Q49,inglehart,bengali_telugu,0.2604,0.0359
earth,Q49,inglehart,hindi_marathi,0.0222,0.0115
earth,Q49,inglehart,hindi_punjabi,0.0064,0.0343
earth,Q49,inglehart,hindi_telugu,0.0017,0.0336
earth,Q49,inglehart,marathi_punjabi,0.0513,0.0279
earth,Q49,inglehart,marathi_telugu,0.0357,0.0278
earth,Q49,inglehart,punjabi_telugu,0.0015,0.0538
fire,Q155,inglehart,bengali_hindi,0.0,0.013
fire,Q155,inglehart,bengali_marathi,0.1821,0.0955
fire,Q155,inglehart,bengali_punjabi,0.0,0.0212
fire,Q155,inglehart,bengali_telugu,0.0,0.0319
fire,Q155,inglehart,hindi_marathi,0.1821,0.0454
fire,Q155,inglehart,hindi_punjabi,0.0,0.0228
fire,Q155,inglehart,hindi_telugu,0.0,0.0118
fire,Q155,inglehart,marathi_punjabi,0.1821,0.0671
fire,Q155,inglehart,marathi_telugu,0.1821,0.025
fire,Q155,inglehart,punjabi_telugu,0.0,0.0112
global,Q155,inglehart,bengali_hindi,0.1138,0.013
global,Q155,inglehart,bengali_marathi,0.0097,0.0955
global,Q155,inglehart,bengali_punjabi,0.0159,0.0212
global,Q155,inglehart,bengali_telugu,0.0006,0.0319
global,Q155,inglehart,hindi_marathi,0.1733,0.0454
global,Q155,inglehart,hindi_punjabi,0.1826,0.0228
global,Q155,inglehart,hindi_telugu,0.1046,0.0118
global,Q155,inglehart,marathi_punjabi,0.0018,0.0671
global,Q155,inglehart,marathi_telugu,0.0148,0.025
global,Q155,inglehart,punjabi_telugu,0.0228,0.0112
earth,Q155,inglehart,bengali_hindi,0.0,0.013
earth,Q155,inglehart,bengali_marathi,0.1441,0.0955
earth,Q155,inglehart,bengali_punjabi,0.0,0.0212
earth,Q155,inglehart,bengali_telugu,0.108,0.0319
earth,Q155,inglehart,hindi_marathi,0.1441,0.0454
earth,Q155,inglehart,hindi_punjabi,0.0,0.0228
earth,Q155,inglehart,hindi_telugu,0.108,0.0118
earth,Q155,inglehart,marathi_punjabi,0.1441,0.0671
earth,Q155,inglehart,marathi_telugu,0.0037,0.025
earth,Q155,inglehart,punjabi_telugu,0.108,0.0112
fire,Q45,family_authority,bengali_hindi,0.0,0.0554
fire,Q45,family_authority,bengali_marathi,0.1198,0.0554
fire,Q45,family_authority,bengali_punjabi,0.2654,0.0089
fire,Q45,family_authority,bengali_telugu,0.1821,0.1127
fire,Q45,family_authority,hindi_marathi,0.1198,0.0172
fire,Q45,family_authority,hindi_punjabi,0.2654,0.0206
fire,Q45,family_authority,hindi_telugu,0.1821,0.0521
fire,Q45,family_authority,marathi_punjabi,0.04,0.03
fire,Q45,family_authority,marathi_telugu,0.0092,0.0136
fire,Q45,family_authority,punjabi_telugu,0.0111,0.0814
global,Q45,family_authority,bengali_hindi,0.0583,0.0554
global,Q45,family_authority,bengali_marathi,0.0688,0.0554
global,Q45,family_authority,bengali_punjabi,0.1587,0.0089
global,Q45,family_authority,bengali_telugu,0.1491,0.1127
global,Q45,family_authority,hindi_marathi,0.0633,0.0172
global,Q45,family_authority,hindi_punjabi,0.2285,0.0206
global,Q45,family_authority,hindi_telugu,0.1677,0.0521
global,Q45,family_authority,marathi_punjabi,0.0665,0.03
global,Q45,family_authority,marathi_telugu,0.0348,0.0136
global,Q45,family_authority,punjabi_telugu,0.0123,0.0814
earth,Q45,family_authority,bengali_hindi,0.1901,0.0554
earth,Q45,family_authority,bengali_marathi,0.2434,0.0554
earth,Q45,family_authority,bengali_punjabi,0.2791,0.0089
earth,Q45,family_authority,bengali_telugu,0.3544,0.1127
earth,Q45,family_authority,hindi_marathi,0.0097,0.0172
earth,Q45,family_authority,hindi_punjabi,0.2234,0.0206
earth,Q45,family_authority,hindi_telugu,0.0644,0.0521
earth,Q45,family_authority,marathi_punjabi,0.1811,0.03
earth,Q45,family_authority,marathi_telugu,0.0247,0.0136
earth,Q45,family_authority,punjabi_telugu,0.1463,0.0814
fire,Q57,inglehart,bengali_hindi,0.0,0.0274
fire,Q57,inglehart,bengali_marathi,0.0,0.0301
fire,Q57,inglehart,bengali_punjabi,0.0,0.016
fire,Q57,inglehart,bengali_telugu,0.0,0.0133
fire,Q57,inglehart,hindi_marathi,0.0,0.0001
fire,Q57,inglehart,hindi_punjabi,0.0,0.0016
fire,Q57,inglehart,hindi_telugu,0.0,0.0026
fire,Q57,inglehart,marathi_punjabi,0.0,0.0023
fire,Q57,inglehart,marathi_telugu,0.0,0.0036
