id,state,group,artifact,model,guess1,correct1,guess2,correct2,correct_any
andhra_pradesh_0,andhra_pradesh,Telugu,Tirupati Balaji temple,tiny-aya-global,Vishnu Temple in Tirupati,False,Vishnu Temple in Tirupati,False,False
andhra_pradesh_1,andhra_pradesh,Telugu,Rushi konda beach,tiny-aya-global,Vishakha Beach,False,Ananthapuram Beach,False,False
andhra_pradesh_2,andhra_pradesh,Telugu,kakinada kaja,tiny-aya-global,Jalebi,False,Kaju Katai,False,False
andhra_pradesh_3,andhra_pradesh,Telugu,Prakasam barrage,tiny-aya-global,River bridge,False,Vijayawada Raft,False,False
andhra_pradesh_4,andhra_pradesh,Telugu,kalamkari paintings,tiny-aya-global,Pattachitra,False,Pattachitra,False,False
andhra_pradesh_5,andhra_pradesh,Telugu,Brass idol of Nataraja in Tirupati,tiny-aya-global,Ganesha,False,Sannasari,False,False
andhra_pradesh_6,andhra_pradesh,Telugu,Kuchipudi,tiny-aya-global,Bharatanatyam,False,Kathakali,False,False
andhra_pradesh_7,andhra_pradesh,Telugu,Ikat Puri weaving,tiny-aya-global,Kalamkari,False,Pattachitra,False,False
andhra_pradesh_8,andhra_pradesh,Telugu,kondapalli toys,tiny-aya-global,Gollu,False,Gollu,False,False
andhra_pradesh_9,andhra_pradesh,Telugu,Kamal kadai embroidery,tiny-aya-global,Kanchipuram saree,False,Pancha Padya saree,False,False
andhra_pradesh_10,andhra_pradesh,Telugu, Kolannalu or kolattam,tiny-aya-global,Gudi,False,Gudi,False,False
andhra_pradesh_11,andhra_pradesh,Telugu,Mangalagiri Handloom Sarees,tiny-aya-global,Choli,False,Pancha,False,False
andhra_pradesh_12,andhra_pradesh,Telugu,chandragiri fort,tiny-aya-global,Tirupati Balaji Temple,False,Ans: Tirupati Balaji Temple,False,False
andhra_pradesh_13,andhra_pradesh,Telugu,Dharmavaram pattu,tiny-aya-global,**Kanchipuram saree**,False,**Panchala saree**,False,False
telangana_14,telangana,Telugu,Batukamma/Bathukamma,tiny-aya-global,Golu,False,Golu,False,False
telangana_15,telangana,Telugu,Charminar,tiny-aya-global,Charminar,True,,False,True
telangana_16,telangana,Telugu,Kakatiya,tiny-aya-global,Warangal,False,Ans: Warangal,False,False
telangana_17,telangana,Telugu,Hyderabadi Biryani,tiny-aya-global,Biryani,True,,False,True
telangana_18,telangana,Telugu,Peddamma gudi,tiny-aya-global,Charminar,False,Ans: Golkonda Fort,False,False
telangana_19,telangana,Telugu,Gadwal saree,tiny-aya-global,Chogidi,False,Chogidi,False,False
telangana_20,telangana,Telugu,Salarjung Mueseum,tiny-aya-global,Charminar,False,Ans: Golconda Fort,False,False
telangana_21,telangana,Telugu,durries from Warangal,tiny-aya-global,Gadhai,False,Gadhai,False,False
telangana_22,telangana,Telugu,Hussain Sagar,tiny-aya-global,Hussain Sagar,True,,False,True
telangana_23,telangana,Telugu,Golconda Fort,tiny-aya-global,Charminar,False,Ans: Charminar,False,False
telangana_24,telangana,Telugu,langa voni,tiny-aya-global,**Choli**,False,**Pattu**,False,False
telangana_25,telangana,Telugu,Bonaalu/Bonalu,tiny-aya-global,Peddama Gudi,False,Peddama,False,False
telangana_26,telangana,Telugu,Birla Mandir,tiny-aya-global,Ramappa Temple,False,Ramappa Temple,False,False
punjab_27,punjab,Punjabi,lassi,tiny-aya-global,Buttermilk,False,Lassi,True,True
punjab_28,punjab,Punjabi,bhangra,tiny-aya-global,Giddha,False,Giddha,False,False
punjab_29,punjab,Punjabi,lohri,tiny-aya-global,Lohri,True,,False,True
punjab_30,punjab,Punjabi,basant panchmi,tiny-aya-global,Vaisakhi,False,Lohri,False,False
punjab_31,punjab,Punjabi,punjabi jutti,tiny-aya-global,Chappals,False,Chappals,False,False
punjab_32,punjab,Punjabi,virasat e khalsa,tiny-aya-global,Golden Temple,False,Harmandir Sahib,False,False
punjab_33,punjab,Punjabi,golden temple,tiny-aya-global,Golden Temple,True,,False,True
punjab_34,punjab,Punjabi,sarson ka saag,tiny-aya-global,Samosa,False,Gajjar Samosa,False,False
punjab_35,punjab,Punjabi,paranda,tiny-aya-global,Mehendi,False,Chunni,False,False
punjab_36,punjab,Punjabi,baba farid,tiny-aya-global,Guru Nanak,False,Guru Arjan Dev,False,False
punjab_37,punjab,Punjabi,nakashi,tiny-aya-global,Zardozi,False,Phulkari,False,False
punjab_38,punjab,Punjabi,saggi phull,tiny-aya-global,Chunni,False,Dupatta,False,False
punjab_39,punjab,Punjabi,pakhi,tiny-aya-global,Chaddar,False,Chaddar,False,False
punjab_40,punjab,Punjabi,heer ranjha,tiny-aya-global,Amrit Sar,False,Jindri,False,False
punjab_41,punjab,Punjabi,baisakhi,tiny-aya-global,Vaisakhi,False,Lohri,False,False
punjab_42,punjab,Punjabi,dastar,tiny-aya-global,Turban,False,Dastar,True,True
punjab_43,punjab,Punjabi,kaintha,tiny-aya-global,Pagri,False,Turban,False,False
punjab_44,punjab,Punjabi,gurudwara,tiny-aya-global,Gurdwara,False,Nizam,False,False
punjab_45,punjab,Punjabi,turban,tiny-aya-global,Turban,True,,False,True
punjab_46,punjab,Punjabi,chudha,tiny-aya-global,Mehendi,False,Chunni,False,False
west_bengal_47,west_bengal,Bengali,nabanna,tiny-aya-global,Calcutta High Court,False,Ans: Calcutta High Court,False,False
west_bengal_48,west_bengal,Bengali,dokra,tiny-aya-global,Chokha,False,Chokha,False,False
west_bengal_49,west_bengal,Bengali,bamboo craft,tiny-aya-global,Mango leaves,False,Bamboo,True,True
west_bengal_50,west_bengal,Bengali,chhau dance,tiny-aya-global,Durmura,False,Dandiya Raas,False,False
west_bengal_51,west_bengal,Bengali,kantha,tiny-aya-global,*Chadda*,False,*Chadda*,False,False
west_bengal_52,west_bengal,Bengali,elish fish fry,tiny-aya-global,Pitha,False,Pitha,False,False
west_bengal_53,west_bengal,Bengali,wb new,tiny-aya-global,Butter,False,Butter,False,False
west_bengal_54,west_bengal,Bengali,jamdani saree,tiny-aya-global,**Sari**,False,**Sari**,False,False
west_bengal_55,west_bengal,Bengali,terracotta craft,tiny-aya-global,Chendur,False,Chendur,False,False
west_bengal_56,west_bengal,Bengali,kirtan,tiny-aya-global,Bhakti Dance,False,Gauri Gaatha,False,False
west_bengal_57,west_bengal,Bengali,misti doi,tiny-aya-global,Mishti Doi,False,Rasgulla,False,False
west_bengal_58,west_bengal,Bengali,sundarban,tiny-aya-global,Sundarbans,True,,False,True
west_bengal_59,west_bengal,Bengali,tant saree,tiny-aya-global,**Rabi Saree**,False,**Rabi Saree**,False,False
west_bengal_60,west_bengal,Bengali,patachitra,tiny-aya-global,**Patachitra**,True,,False,True
west_bengal_61,west_bengal,Bengali,baul,tiny-aya-global,Bhajan,False,Bhajan,False,False
west_bengal_62,west_bengal,Bengali,royal bengal tiger,tiny-aya-global,Bengal Tiger,True,,False,True
west_bengal_63,west_bengal,Bengali,rabindra sangeet,tiny-aya-global,Bengali film music,False,Ans: Bhangra,False,False
west_bengal_64,west_bengal,Bengali,najrul geeti,tiny-aya-global,Bengali folk songs,False,**Bengali folk songs**,False,False
west_bengal_65,west_bengal,Bengali,banga mata,tiny-aya-global,Saptarangi,False,Saptarangi,False,False
west_bengal_66,west_bengal,Bengali,kobigaan,tiny-aya-global,Baul song,False,Bhajan,False,False
maharashtra_67,maharashtra,Marathi,modak,tiny-aya-global,Gulab Jamun,False,Khandvi,False,False
